dte_code,dte_name,cap_code,cap_name,match_score,needs_review
EN4145,"WAINGANGA COLLEGE OF ENGINEERING AND MANAGEMENT, DONGARGAON,",4145,"Wainganga College of Engineering and Management, Dongargaon,",1.0,
EN4147,"COMMITTEE'S, KARMAVIR DADASAHEB KANNAMWAR COLEGE OF ENGINEER",4147,"K.D.K. College of Engineering, Nagpur",1.0,
EN4151,SANSTHA'S TULSHIRAMJI GAIKWAD PATIL COLLEGE OF ENGINEERING &,4151,Tulsiramji Gaikwad Patil College of Engineering & Technology,0.4,YES
EN4163,RAJIV GANDHI COLLEGE OF ENGINEERING RESEARCH & TECHNOLOGY CH,4163,Rajiv Gandhi College of Engineering Research & Technology Ch,1.0,
EN4167,"YESHWANTRAO CHAVAN COLLEGE OF ENGINEERING,WANADONGRI, NAGPUR",4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",1.0,
EN4172,"ANJUMAN COLLEGE OF ENGINEERING & TECHNOLOGY, NAGPUR",4172,"Anjuman College of Engineering & Technology, Nagpur",1.0,
EN4174,"ST. VINCENT PALLOTTI COLLEGE OF ENGINEERING & TECHNOLOGY, NA",4174,"ST. Vincent Pallotti College of Engineering & Technology, Na",1.0,
EN4175,"SHRI SHANKARPRASAD AGNIHOTRI COLLEGE OF ENGINEERING,BAPUJI W",4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wa",0.43,YES
EN4177,"PRIYADARSHINI BHAGWATI COLLEGE OF ENGINEERING, NAGPUR",4177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar,",0.43,YES
EN4181,"TECHNOLOGY, NAGPUR (FORMERLY KNOWN AS SARVASIDDHANTA EDUCATI",4025,"Government College of Engineering, Nagpur",0.5,YES
EN4188,"BALLARPUR INSTITUTE OF TECHNOLOGY,BALLARPUR",4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Techn",1.0,
EN4190,"SHRI SAI COLLEGE OF ENGINEERING & TECHNOLOGY, BHADRAWATI (M.",4190,M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai Co,0.45,YES
EN4192,"MAITREY EDUCATIONAL SOCIETY, NAGARJUNA INSTITUTE OF ENGINEER",4192,"Maitraya Education Society, Nagarjuna Institute of Engineeri",0.4,YES
EN4193,"K.D.M. EDUCATION SOCIETY, VIDHARBHA INSTITUTE OF TECHNOLOGY,",4193,"K.D.M. Education Society, Vidharbha Institute of Technology,",0.89,
EN4196,GURUNANAK EDUCATIONAL SOCIETY'S GURUNANAK INSTITUTE OF ENGIN,4196,Gurunanak Educational Society's Gurunanak Institute of Techn,0.8,
EN4197,"COLLEGE OF ENGINEERING, NR. BYPASS HIGHWAY, NAGTHANA ROAD, S",6321,Vidya Vikas Pratishthan Institute of Engineering and Technol,1.0,
EN4285,"SVVPM'S V M INSTITUTE OF ENGINEERING AND TECHNOLOGY,DONGARGA",4145,"Wainganga College of Engineering and Management, Dongargaon,",1.0,
EN4302,"MANOHARBHAI PATEL INSTITUTE OF ENGINEERING & TECHNOLOGY, SHA",4302,Gondia Education Society's Manoharbhai Patel Institute Of En,0.67,
EN4304,"CUMMINS COLLEGE OF ENGINEERING FOR WOMEN, SUKLI (GUPCHUP), T",4304,"Cummins College of Engineering For Women, Sukhali (Gupchup),",0.75,
EN4613,"SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY, NAGPUR",4613,"Suryodaya College of Engineering & Technology, Nagpur",1.0,
EN4648,"R.V. PARANKAR COLLEGE OF ENGINEERING & TECHNOLOGY, ARVI, DIS",4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dis",1.0,
EN4649,"TECHNOLOGY, ARVI, DIST WARDHA BAJAJ INSTITUTE OF TECHNOLOGY",4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dis",0.5,YES
EN4679,"KARANJEKAR COLLEGE OF ENGINEERING AND MANAGEMENT, SAKOLI",4679,"Karanjekar College of Engineering & Management, Sakoli",1.0,
EN5103,SHRI SHIVAJI VIDYA PRASARAK SANSTHA'S LATE BAPUSAHEB SHIVAJI,5103,Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji,0.91,
EN5104,"SHRAMSADHANA BOMBAY TRUST, COLLEGE OF ENGINEERING & TECHNOLO",5104,"Shramsadhana Bombay Trust, College of Engineering & Technolo",1.0,
